name,categories,rating,coordinates,transactions,price,is_closed,content,review_rating,date,reviewers_name,cool_tag,useful_tag,funny_tag
HallPass,"[{'alias': 'food_court', 'title': 'Food Court'}]",4.5,"{'latitude': 40.765937, 'longitude': -111.903777}",['restaurant_reservation'],$$,False,"Okay spot, only two dining options while we were there on a Saturday afternoon. Bar service was very slow (15 min to get a couple of draft beers) during not a very busy time. Our food was pretty tasty.",3,4/17/2021,Monica C.,0,1,0
HallPass,"[{'alias': 'food_court', 'title': 'Food Court'}]",4.5,"{'latitude': 40.765937, 'longitude': -111.903777}",['restaurant_reservation'],$$,False,Wonderful location. Beautiful space. Great menus.  The problem is with execution and during these times (when everyone is having such staffing issues) this place suffers. Empty tables sat dirty so people had no where to sit. Two cocktail waitresses for the whole place and you can't walk up to the bar to order. So drinks came after we had our food. It's a great concept and I think once we can find people who want to work again this place will  kill it.,4,4/10/2021,Mindi A.,2,1,0
HallPass,"[{'alias': 'food_court', 'title': 'Food Court'}]",4.5,"{'latitude': 40.765937, 'longitude': -111.903777}",['restaurant_reservation'],$$,False,"If you've never been here, this place is like a dining hall/upscale food court, meaning you have multiple options. I only tried the Nashville hot chicken sandwich, Mac n cheese, and clam chowder (from another food place here), but all three were good! I'd say the Mac n cheese was my favorite. Overall, I don't think the food will blow anyone away, but the chill staff, wide food selection, and nice atmosphere make this a place I'd definitely return to!",5,4/3/2021,Nicolas R.,0,0,0
HallPass,"[{'alias': 'food_court', 'title': 'Food Court'}]",4.5,"{'latitude': 40.765937, 'longitude': -111.903777}",['restaurant_reservation'],$$,False,"It's basically an expensive food court where you can drink. Only 2 options were open for lunch, and we chose the chicken place.The service was good.We had the tenders combo. 1 spicy. 1 mild. The portions were generous and filling, however this was probably the greasiest chicken I've ever had. So.much.grease.The mild tenders had no flavor, not even salty or peppery, just boring chicken batter.  The spicy was hot, but again, no real flavor. The tenders were tender, but so greasy, and at $14 per combo, I'd been better off at an actual sit down restaurant.",3,4/3/2021,Richard M.,0,1,0
HallPass,"[{'alias': 'food_court', 'title': 'Food Court'}]",4.5,"{'latitude': 40.765937, 'longitude': -111.903777}",['restaurant_reservation'],$$,False,"HallPass is the best food court in SLC. Great music, good location, sport games on and very high diversity in term of food available. There are almost no better food court in SLC that is better than HallPass. Also the staff here are very nice",5,3/27/2021,Peewat C.,0,0,0
HallPass,"[{'alias': 'food_court', 'title': 'Food Court'}]",4.5,"{'latitude': 40.765937, 'longitude': -111.903777}",['restaurant_reservation'],$$,False,"WHOA! Pricey! We got a chicken sandwich combo which was $20, pretty good. Tried the BBQ pork noodles and that was $15 on its own, not a lot of flavor. You're definitely paying for atmosphere, variety and bar availability on top of the food. We like trying new spots and We wanted to try some other menu items so we will be back for a round 2  but 3 stars this far for taste vs. price.",3,3/26/2021,Leesah K.,0,1,0
HallPass,"[{'alias': 'food_court', 'title': 'Food Court'}]",4.5,"{'latitude': 40.765937, 'longitude': -111.903777}",['restaurant_reservation'],$$,False,"Super fun vibes and cool atmosphere in there. Drinks were yummy but a little pricy. We got bao buns which were super yummy and the chicken tenders which were good. We got the level 2 spice on the chicken, which was surprisingly way too hot. I can handle spicy and hot food, but it just was burning my mouth hot. Not quite sure how that is a level 2 spice? Fries with it were delicious!",4,3/23/2021,Rebekah J.,1,0,0
HallPass,"[{'alias': 'food_court', 'title': 'Food Court'}]",4.5,"{'latitude': 40.765937, 'longitude': -111.903777}",['restaurant_reservation'],$$,False,The way the food court is set up was confusing for a second but makes so much sense to break it up how they have the straws are cool too,5,3/23/2021,Lorenzo P.,0,0,0
HallPass,"[{'alias': 'food_court', 'title': 'Food Court'}]",4.5,"{'latitude': 40.765937, 'longitude': -111.903777}",['restaurant_reservation'],$$,False,"I have been back to HallPass several times since my last review and have been able to try the other restaurants! I think i've found my favorites. Skinny fats offers lots of classic burgers and sandwiches with a healthy twist. They also have some interesting side choices mike a vegan caesar salad and grapefruit brûlée. I tried the ""Chix on Broadway"" chicken sandwich and it blew my mind. It has a lemon herb aioli that compliments the veggies and chicken really well. You also can't go wrong with a brioche bun. On the side I tried the vegan caesar salad and grapefruit brûlée. I quite liked the dressing but it had far too many apple slices to be able to enjoy the whole salad. The grapefruit brûlée was a total win! Crunchy sugar on the top and sweet citrusy grapefruit made for an awesome ""healthy"" dessert. Colossal Lobster is another favorite mini restaurant in Hallpass. My boyfriend is a huge seafood connoisseur and he rates colossal lobster a 4/5. We have tried the Lobster ruben and the lobster roll. We really liked both, however the portions are small and don't come with a side. If you're looking for an elevated twist on classic lunch items, HallPass is for you! It's also a nice change of pace from your typical dining experience.",5,3/23/2021,Gracie S.,0,0,0
HallPass,"[{'alias': 'food_court', 'title': 'Food Court'}]",4.5,"{'latitude': 40.765937, 'longitude': -111.903777}",['restaurant_reservation'],$$,False,"The lobster rolls are unbeatable. They're a little pricey and should just come with fries on the side, but so so so good!",5,3/21/2021,Taylor H.,0,0,0
